Part#	Descrip	Brand	Front Left Flange Diameter (mm)	Front Right Flange Diameter (mm) 	Front Left Center To Flange (mm)	Front Right Center To Flange (mm)	Front Holes	Rear Left Flange Diameter (mm)	Rear Right Flange Diameter (mm) 	Rear Left Center To Flange (mm)	Rear Right Center To Flange (mm)	Rear Holes
HU7883	Shimano Inter-7 36h hub with coaster brake 127mm OLD	Shimano	0.00	0.00	0.00	0.00	0	87.00	87.00	28.00	22.00	36
HU7887	Alfine SGS501 32h Disc brake 8-spd Internal hub Black	Shimano	0.00	0.00	0.00	0.00	0	92.75	92.75	31.50	24.50	32
HU7888	Alfine SGS500 36h Disc brake 8-spd Internal hub	Shimano	0.00	0.00	0.00	0.00	0	92.75	92.75	31.50	24.50	36
HU7900	Dura-Ace HB-7900 24h Front Hub, Silver	Shimano	38.00	38.00	35.50	35.50	24	0.00	0.00	0.00	0.00	0
HU7901	Dura-Ace HB-7900 28h Front Hub, Silver	Shimano	38.00	38.00	35.50	35.50	28	0.00	0.00	0.00	0.00	0
HU7902	Dura-Ace HB-7900 32h Front Hub, Silver	Shimano	38.00	38.00	35.50	35.50	32	0.00	0.00	0.00	0.00	0
HU7903	Dura-Ace HB-7900 36h Front Hub, Silver	Shimano	38.00	38.00	35.50	35.50	36	0.00	0.00	0.00	0.00	0
HU7905	Dura-Ace FH-7900 28h 10-Speed Rear Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.50	18.50	28
HU7906	Dura-Ace FH-7900 32h 10-Speed Rear Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.50	18.50	32
HU7907	Dura-Ace FH-7900 36h 10-Speed Rear Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.50	18.50	36
HU8070	Saint M800 32h Front Hub w/large Centerlock	Shimano	57.00	57.00	23.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8071	Saint M800 36h Front Hub w/large Centerlock	Shimano	57.00	57.00	23.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8075	Saint M800 32h Rear Hub w/large Centerlock	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	32.00	19.50	32
HU8076	Saint M800 36h Rear Hub w/large Centerlock	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	32.00	19.50	36
HU8093	Saint M801 32h 135mm OLD Centerlock Rear Hub	Shimano	0.00	0.00	0.00	0.00	0	61.00	61.00	33.50	20.50	32
HU8096	Saint M806 36h 150mm OLD Centerlock Rear Hub	Shimano	0.00	0.00	0.00	0.00	0	61.00	61.00	41.00	28.00	36
HU8102	Shimano HF08 40 Hole Rear Tandem Hub, 145mm Spacing	Shimano	0.00	0.00	0.00	0.00	0	62.50	62.50	28.00	22.00	40
HU8103	Shimano HF08 48 Hole Rear Tandem Hub, 145mm Spacing	Shimano	0.00	0.00	0.00	0.00	0	62.50	62.50	28.00	22.00	48
HU8104	Shimano HF08 40 hole front tandem hub	Shimano	62.00	62.00	34.00	34.00	40	0.00	0.00	0.00	0.00	0
HU8105	Shimano HF08 48 hole front tandem hub	Shimano	62.00	62.00	34.00	34.00	48	0.00	0.00	0.00	0.00	0
HU8119	Shimano HB-RM60 ft hub 32 hole silver	Shimano	38.00	38.00	33.00	33.00	32	0.00	0.00	0.00	0.00	0
HU8120	Shimano FH-RM60 Rear 32h Cassette Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	45.50	45.50	36.00	19.50	32
HU8122	Shimano HB-M495-S Centerlock Front Hub	Shimano	45.00	44.00	24.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8123	Shimano HB-M495-L Centerlock Front Hub	Shimano	45.00	44.00	24.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8124	Shimano FHM-495S Rear REAR Centerlock Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	45.00	44.00	31.00	17.50	32
HU8125	Shimano FHM-495L Rear Centerlock Hub, Black	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	31.00	17.50	32
HU8130	Saint M810 36h 20mm Std Centerlock 110mm Front Hub	Shimano	52.25	52.25	23.50	35.00	36	0.00	0.00	0.00	0.00	0
HU8132	Shimano Saint M810 36h Rear Hub Std Centerlock 135mm X 12mm	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	33.50	20.50	36
HU8133	Shimano Saint M810 32h Rear Hub Std Centerlock 135mm X 12mm	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	33.50	20.50	32
HU8300	Shimano Auto-D kit /coaster brake hub	Shimano	0.00	0.00	0.00	0.00	0	84.00	84.00	33.00	25.00	36
HU8310	Shimano Auto-D kit /roller brake hub	Shimano	0.00	0.00	0.00	0.00	0	84.00	84.00	27.00	26.00	36
HU8400	XT M756 32 hole front disc hub, silver	Shimano	60.00	60.00	21.00	31.50	32	0.00	0.00	0.00	0.00	0
HU8402	XT M756 32 hole front disc hub, black	Shimano	60.00	60.00	21.00	31.50	32	0.00	0.00	0.00	0.00	0
HU8404	XT M756 36 hole front disc hub, silver	Shimano	60.00	60.00	21.00	31.50	36	0.00	0.00	0.00	0.00	0
HU8406	XT M756 36 hole front disc hub, black	Shimano	60.00	60.00	21.00	31.50	36	0.00	0.00	0.00	0.00	0
HU8408	XT M756 32 Hole Rear Disc Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	31.00	18.00	32
HU8410	XT M756 32 Hole Rear Disc Hub Black	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	31.00	18.00	32
HU8412	XT M756 36 Hole Rear Disc hub Silver	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	31.00	18.00	36
HU8414	XT M756 36 Hole Rear Disc Hub Black	Shimano	0.00	0.00	0.00	0.00	0	60.00	60.00	31.00	18.00	36
HU8434	Deore XT M760 32h Front Hub Black	Shimano	38.00	38.00	34.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8435	Deore XT M760 32h Front Hub Silver	Shimano	38.00	38.00	34.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8436	Deore XT M760 36h Fron Hub Black	Shimano	38.00	38.00	34.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8437	Deore XT M760 36h Front Hub Silver	Shimano	38.00	38.00	34.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8438	Deore XT M760 32h Rear Hub Black	Shimano	45.00	45.00	35.00	19.00	32	0.00	0.00	0.00	0.00	0
HU8439	Deore XT M760 32h Rear Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	35.00	19.00	32
HU8440	Deore XT M760 36h Rear Hub Black	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	35.00	19.00	36
HU8441	Deore XT M760 36h Rear Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	35.00	19.50	36
HU8442	Deore XT M765 32h Front Disc Hub, Black	Shimano	44.00	38.00	23.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8443	Deore XT M765 32h Front Disc Hub, Silver	Shimano	44.00	38.00	23.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8444	Deore XT M765 36h Front Disc Hub, Black	Shimano	44.00	41.00	23.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8445	Deore XT M765 36h Front Disc Hub, Silver	Shimano	44.00	41.00	23.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8446	Deore XT M765 32h Rear Disc Hub, Black	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	34.00	21.00	32
HU8447	Deore XT M765 32h Rear Disc Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	34.00	21.00	32
HU8448	Deore XT M765 36h Rear Disc Hub, Black	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	34.00	21.00	36
HU8449	Deore XT M765 36h Rear Disc Hub, Silver	Shimano	0.00	0.00	0.00	0.00	0	45.00	45.00	34.00	21.00	36
HU8476	XT M778 32h Center Lock Disc Front Hub w/15mm thru axle	Shimano	44.00	44.00	23.00	34.00	32	0.00	0.00	0.00	0.00	0
HU8477	XT M778 36h Center Lock Disc Front Hub w/15mm thru axle	Shimano	44.00	44.00	23.00	34.00	36	0.00	0.00	0.00	0.00	0
HU8500	XT M776 36h 20mm Center lock Front hub Black	Shimano	52.25	52.25	23.50	35.00	36	0.00	0.00	0.00	0.00	0
HU8501	XT M776 32h 20mm Center lock Front hub Black	Shimano	52.25	52.25	23.50	35.00	32	0.00	0.00	0.00	0.00	0
HU8502	XT M775 36h Centerlock Front hub Black	Shimano	44.00	41.00	22.00	33.00	36	0.00	0.00	0.00	0.00	0
HU8503	XT M775 32h Centerlock Front hub Black	Shimano	44.00	41.00	22.00	33.00	32	0.00	0.00	0.00	0.00	0
HU8504	XT M775 36h Centerlock Rear Hub Black	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	33.00	20.00	36
HU8505	XT M775 32h Centerlock Rear Hub Black	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	33.00	20.00	32
HU8506	XT M770 36h Front hub Black	Shimano	40.00	40.00	33.50	33.50	36	0.00	0.00	0.00	0.00	0
HU8507	XT M770 32h Front hub Black	Shimano	40.00	40.00	33.50	33.50	32	0.00	0.00	0.00	0.00	0
HU8508	XT M770 36h Rear hub Black	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.00	20.00	36
HU8509	XT M770 32h Rear hub Black	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	34.00	20.00	32
HU8513	XT M775 32h Centerlock Front hub Silver	Shimano	44.00	41.00	22.00	33.00	32	0.00	0.00	0.00	0.00	0
HU8515	XT M775 32h Centerlock Rear Hub Silver	Shimano	0.00	0.00	0.00	0.00	0	44.00	45.00	33.00	20.00	32
HU8516	XT M770 36h Front hub Silver	Shimano	40.00	40.00	33.50	33.50	36	0.00	0.00	0.00	0.00	0
